ID,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd pledged,usd_pledged_real,usd_goal_real,launch_month,launch_dow,duration
1177451632,The Everyday Project,Experimental,Film & Video,USD,6/19/14,50.0,5/20/14 23:08,223.0,successful,35,US,223.0,223.0,50.0,5,3,29
1177454326,The Creation of a Digital Fashion Magazine!,Periodicals,Publishing,USD,4/14/12,5000.0,3/15/12 16:39,0.0,failed,0,US,0.0,0.0,5000.0,3,5,29
117745590,Aerial Dream: A collision of snowboarding and RC,Film & Video,Film & Video,USD,11/15/12,7500.0,9/25/12 19:35,35.0,failed,2,US,35.0,35.0,7500.0,9,3,50
1177459197,"Ipuina Kontatu, (a feature length documentary)",Documentary,Film & Video,USD,7/24/10,12000.0,6/4/10 20:29,12205.0,successful,59,US,12205.0,12205.0,12000.0,6,6,49
1177460347,Bring The RG to Reading | Art for everyone. (Canceled),Public Art,Art,GBP,7/20/14,50000.0,6/10/14 15:19,5907.0,canceled,31,GB,9927.31,10034.83,84940.12,6,3,39
1177470526,Cow Invader,Video Games,Games,EUR,11/20/15,20000.0,9/21/15 17:45,13.0,failed,2,FR,14.69,13.89,21375.97,9,2,59
1177480984,"It's a Photo Van, man!",Photography,Photography,USD,11/9/13,9000.0,9/25/13 18:18,2730.0,failed,44,US,2730.0,2730.0,9000.0,9,4,44
1177489610,NOVA Fashion Week Designer Project,Fashion,Fashion,USD,9/8/12,10000.0,8/9/12 2:54,1150.0,failed,3,US,1150.0,1150.0,10000.0,8,5,30
1177500682,Fresh Start Juice Co.,Drinks,Food,USD,2/24/15,7000.0,1/10/15 3:49,2.0,failed,2,US,2.0,2.0,7000.0,1,7,45
1177507060,THE HOTEL COLORS,Theater,Theater,USD,4/13/13,5500.0,3/24/13 16:30,6673.0,successful,126,US,6673.0,6673.0,5500.0,3,1,19
1177509441,My Whole Legacy,Software,Technology,USD,7/7/15,500000.0,6/22/15 18:00,0.0,failed,0,US,0.0,0.0,500000.0,6,2,14
1177518187,A is for Adderall,Documentary,Film & Video,USD,1/28/12,15000.0,12/22/11 18:22,1662.0,failed,27,US,1662.0,1662.0,15000.0,12,5,36
1177520453,He's Not Gay! (Orange County band) is going to follow Warped Tour 2010! (Canceled),Indie Rock,Music,USD,11/25/09,5000.0,8/28/09 22:00,0.0,canceled,0,US,0.0,0.0,5000.0,8,6,88
1177523118,"2015 MWG Anthology (Murfreesboro Writers Group, Tenneessee)",Anthologies,Publishing,USD,11/15/14,3006.0,10/31/14 20:25,27.0,failed,1,US,27.0,27.0,3006.0,10,6,14
1177526184,Sanity Not Included Comedy Tour,Performance Art,Art,USD,9/14/12,1300.0,8/22/12 2:32,25.0,failed,1,US,25.0,25.0,1300.0,8,4,23
1177530098,Voices of Us,Nonfiction,Publishing,USD,3/28/14,7500.0,2/21/14 1:51,105.0,failed,3,US,105.0,105.0,7500.0,2,6,35
1177534645,VIBE/IN,Performances,Dance,USD,3/6/16,1000.0,2/3/16 19:29,1110.0,successful,16,US,1110.0,1110.0,1000.0,2,4,31
1177537929,America's Armed Forces Family App,Technology,Technology,USD,11/16/16,20000.0,10/17/16 18:37,141.0,failed,5,US,1.0,141.0,20000.0,10,2,29
1177551485,B25: One-of-a-kind 2012 RTW Collection,Fashion,Fashion,USD,12/2/11,3000.0,10/18/11 18:40,25.0,failed,2,US,25.0,25.0,3000.0,10,3,44
1177553330,The District's Debut Studio EP,Pop,Music,USD,6/14/16,3000.0,5/10/16 18:27,3480.0,successful,78,US,3480.0,3480.0,3000.0,5,3,34
1177553945,"The Arkham Gazette #3, a Lovecraft Country RPG Magazine",Tabletop Games,Games,USD,12/30/14,1500.0,12/2/14 3:51,6910.0,successful,241,US,6910.0,6910.0,1500.0,12,3,28
1177561620,FLEECE/CROCHETED HATS/FACE WARMERS FOR THE COLD,Accessories,Fashion,USD,10/26/14,10000.0,9/26/14 4:46,0.0,failed,0,US,0.0,0.0,10000.0,9,6,30
1177562360,Bring the Centaur to Life: Tims Surprise,Painting,Art,USD,10/5/14,700.0,9/5/14 2:30,0.0,failed,0,US,0.0,0.0,700.0,9,6,30
1177562518,Mapping the Unfamiliar: An Artist Residency in England,Art,Art,USD,10/4/13,1600.0,9/3/13 19:50,1700.0,successful,27,US,1700.0,1700.0,1600.0,9,3,30
1177563047,"""The Cube"" An imaginary psychology Exercise. Find yourself!",Shorts,Film & Video,GBP,6/25/15,8000.0,6/2/15 8:14,60.0,canceled,5,GB,91.73,94.36,12581.19,6,3,23
1177570031,Warface Wear,Apparel,Fashion,USD,9/1/16,2500.0,8/2/16 2:58,0.0,failed,0,US,0.0,0.0,2500.0,8,3,30
1177574413,Fox - Talk,Software,Technology,EUR,2/1/17,500.0,1/4/17 9:52,500.0,successful,16,DE,116.43,537.05,537.05,1,4,28
1177582092,Destination: Reinvention,Nonfiction,Publishing,USD,2/21/13,5000.0,2/1/13 4:07,5165.0,successful,63,US,5165.0,5165.0,5000.0,2,6,20
1177584505,Crochet Amigurumi Cute Giraffe,Crochet,Crafts,SGD,3/4/17,35.0,2/2/17 0:10,161.0,successful,4,SG,35.23,113.52,24.68,2,5,30
1177596295,Let's Keep Rock N Roll Alive... Help Fund VIA's Debut Album!,Rock,Music,USD,2/13/14,2350.0,1/3/14 21:51,2655.0,successful,21,US,2655.0,2655.0,2350.0,1,6,40
1177601297,Klavon's Ice Cream Parlor Novelties!,Small Batch,Food,USD,11/28/17,10000.0,10/29/17 21:02,717.0,failed,10,US,45.0,717.0,10000.0,10,1,29
1177601888,Granola Strolla - Portable Solar USB charger,Gadgets,Technology,USD,10/12/14,20000.0,9/12/14 17:00,23432.0,successful,267,US,23432.0,23432.0,20000.0,9,6,29
